"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os08g30020",3125.4349571011,-2.36480480774134,0.135129046476304,-17.5003440741071,1.42406310726405e-68,4.10614356348516e-64
"Os10g35070",887.194000355668,2.34219669894818,0.13907685543566,16.8410242783475,1.22104495334078e-63,1.76038050923141e-59
"Os04g33920",809.2399908668,5.37086725270525,0.356133102308113,15.0810672130629,2.15753127319157e-51,1.90931945401324e-47
"Os06g13720",53.1833443863068,3.41974183371621,0.226961161888971,15.0675199459419,2.64870563087083e-51,1.90931945401324e-47
"Os01g45914",2091.82437670603,-6.24744722848252,0.421452737888162,-14.8236010039644,1.03105656493324e-49,5.94589699865699e-46
"Os05g47730",68.3185361908822,4.53860532894169,0.308786968080271,14.6981764067253,6.62190744287255e-49,3.18226798679645e-45
"Os03g09940",1648.59696642198,-1.40069678491385,0.0979727938519206,-14.2967933223474,2.29126493828002e-46,9.43804760433801e-43
"Os02g04160",455.592224845829,1.31106379866815,0.0953740187782785,13.7465508475222,5.34160375970655e-43,1.76800168817641e-39
"Os06g30370",40.5103527457639,3.24727704837965,0.236265383772174,13.7441930617772,5.51849039106184e-43,1.76800168817641e-39
"Os07g48460",793.781195779213,2.14612328684257,0.156833175306944,13.6841155109071,1.26335055632563e-42,3.64274499410931e-39
"Os12g38770",116.563912543832,-3.59091804473646,0.263896534567019,-13.6072951872148,3.62409864692855e-42,9.49975094413979e-39
"Os09g38930",49.1767913040837,-3.7094470122324,0.277233443829004,-13.3802291707647,7.89037165273236e-41,1.89592480195737e-37
"Os11g45280",1448.89788116854,-1.06137021550143,0.0798609967282651,-13.2902199945343,2.63801467326616e-40,5.85111654530434e-37
"Os11g41600",312.593206535157,1.28895674336148,0.0993354622321043,12.9757965020563,1.67842421766063e-38,3.45683456371619e-35
"Os06g19095",219.540836865323,-5.39751111071039,0.417794033865123,-12.9190717750959,3.51354479281463e-38,6.7539700370678e-35
"Os01g11730",583.71703338259,-3.83180320600171,0.298428566064831,-12.83993438205,9.79574646008073e-38,1.7653159589373e-34
"Os10g42780",847.795655817814,2.8795202646274,0.2260452792972,12.7386879017343,3.60405091539853e-37,6.11289435850596e-34
"Os07g38530",2034.59809799861,-0.686733534701563,0.0539419465081829,-12.7309743002579,3.97843425521264e-37,6.37300962860007e-34
"Os11g07911",62.2954808941662,6.79539731065065,0.542250817152791,12.5318341544074,4.99929553551683e-36,7.58682565637328e-33
"Os04g40040",6022.395837956,-1.50324843567949,0.120313620618981,-12.4944160764648,8.008210906179e-36,1.15378931978113e-32
"Os11g40410",130.319166658814,-4.31857492317268,0.345746352588246,-12.4905870758837,8.40312676541713e-36,1.15378931978113e-32
"Os06g45140",457.749985043246,-1.78737594380193,0.143215034939452,-12.4803652392892,9.5547353900936e-36,1.25227836471799e-32
"Os12g36670",1629.1971287209,0.764271075235364,0.061402011196602,12.4470039391423,1.45193883853531e-35,1.82022628131857e-32
"Os10g36180",91.4611631031877,5.95929497965988,0.483914526331823,12.3147677025375,7.54320602405152e-35,9.0625334373959e-32
"Os12g41590",405.29182284105,-1.2241999213192,0.100263846960524,-12.2097840690392,2.75619684112858e-34,3.17888718868405e-31
"Os04g35790",503.37398073883,1.53624203863145,0.128932600052438,11.9150784053579,9.87732244001102e-33,1.09539505859722e-29
